Combination.N	time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11	Time	Time.Ky	rccr
1	13	0.000252145	0.000324649	2938.436	881.663	1122.4721	0.000288397	4.36965151515152	0.434219626885918
2	13	0.000254388	0.000327537	2760.501	896.482	1182.8928	0.000295079	4.47089393939394	0.465578949835944
3	13	0.000254633	0.000327852	3081.476	881.465	1166.6428	0.0002914795	4.41635606060606	0.451519137205
4	13	0.000253466	0.000326349	3007.556	917.082	1178.3906	0.0002889835	4.37853787878788	0.412860001461121
5	13	0.000254857	0.00032814	2926.506	889.313	1178.3923	0.000289947	4.39313636363636	0.469778670218586
6	13	0.000254332	0.000327465	2977.45	936.446	1172.0882	0.000296856	4.49781818	0.5099463318
7	13	0.000254905	0.000328202	2837.439	957.728	1282.755	0.0002922605	4.42818939393939	0.452198709653987
8	13	0.000255728	0.000329262	3038.612	949.144	1158.1236	0.000287619	4.35786363636364	0.433764954864322
9	13	0.00025355	0.000326457	2915.473	922.747	1243.442	0.000294152	4.45684848484848	0.462432697668652
10	13	0.000257987	0.000332171	2872.094	949.372	1206.1488	0.0002919875	4.42405303030303	0.453745389038619
11	31	0.021198	Inf	1079.23	451.094	1400.62	Inf	Inf	0.456934089430138
12	13	0.000252658	0.000325309	3092.215	868.884	1116.8825	0.0002909625	4.40852272727273	0.454675361106466
13	13	0.0002535	0.000326394	2930.8	954.815	1134.1568	0.000290904	4.40763636363636	0.456886385414985
14	13	0.000259541	0.000334171	2691.329	997.787	1221.973	0.0002912425	4.41276515151515	0.414990748375493
15	13	0.000255523	0.000328998	2991.025	951.206	1216.0016	0.0002899075	4.39253787878788	0.43817185818854
16	13	0.000251465	0.000323773	3139.15	921.661	1110.4372	0.0002914985	4.41664393939394	0.433293560524995
17	31	0.0213924	Inf	792.841	566.873	757.772	Inf	Inf	0.471382124708911
18	31	0.021235	Inf	1242.44	528.496	663.735	Inf	Inf	0.462671063368694
19	13	0.000253989	0.000327022	2953.344	865.629	1097.0576	0.000292495	4.43174242424242	0.452324897475076
20	13	0.000254337	0.000327471	2807.29	910.331	1177.6438	0.0002900035	4.39399242424243	0.44374410152648
							Average	4.41512878777184	
							Standard Dev	1.61780429495688	

